year,month,origin,destination,avg_delay
2015,1,MAA,BOM,27.13
2015,1,BOM,DEL,32.59
2015,1,DEL,BLR,32.17
2015,1,PNQ,HYD,33.29
2015,1,HYD,CCU,34.15
2015,1,CCU,AMD,33.63
2015,1,AMD,MAA,33.03
2015,2,MAA,BOM,35.84
2015,2,BOM,DEL,30.04
2015,2,DEL,BLR,28.43
2015,2,PNQ,HYD,30.6
2015,2,HYD,CCU,32.12
2015,2,CCU,AMD,34.06
2015,2,AMD,MAA,32.67
2015,3,MAA,BOM,32.06
2015,3,BOM,DEL,28.81
2015,3,DEL,BLR,30.65
2015,3,PNQ,HYD,31.41
2015,3,HYD,CCU,33.49
2015,3,CCU,AMD,37.65
2015,3,AMD,MAA,33.02
2015,4,MAA,BOM,29.22
2015,4,BOM,DEL,29.51
2015,4,DEL,BLR,35.56
2015,4,PNQ,HYD,34.58
2015,4,HYD,CCU,33.62
2015,4,CCU,AMD,34.67
2015,4,AMD,MAA,32.47
2015,5,MAA,BOM,27.89
2015,5,BOM,DEL,30.01
2015,5,DEL,BLR,31.9
2015,5,PNQ,HYD,28.99
2015,5,HYD,CCU,28.64
2015,5,CCU,AMD,27.85
2015,5,AMD,MAA,29.36
2015,6,MAA,BOM,27.56
2015,6,BOM,DEL,28.1
2015,6,DEL,BLR,33.94
2015,6,PNQ,HYD,35.47
2015,6,HYD,CCU,33.45
2015,6,CCU,AMD,34.97
2015,6,AMD,MAA,27.29
2015,7,MAA,BOM,35.75
2015,7,BOM,DEL,34.11
2015,7,DEL,BLR,33.01
2015,7,PNQ,HYD,29.09
2015,7,HYD,CCU,30.55
2015,7,CCU,AMD,31.99
2015,7,AMD,MAA,35.16
2015,8,MAA,BOM,35.89
2015,8,BOM,DEL,30.37
2015,8,DEL,BLR,28.87
2015,8,PNQ,HYD,29.47
2015,8,HYD,CCU,31.62
2015,8,CCU,AMD,28.34
2015,8,AMD,MAA,28.07
2015,9,MAA,BOM,32.28
2015,9,BOM,DEL,33.62
2015,9,DEL,BLR,34.51
2015,9,PNQ,HYD,34.57
2015,9,HYD,CCU,37.82
2015,9,CCU,AMD,35.87
2015,9,AMD,MAA,30.64
2015,10,MAA,BOM,30.1
2015,10,BOM,DEL,33.97
2015,10,DEL,BLR,26.48
2015,10,PNQ,HYD,29.02
2015,10,HYD,CCU,28.69
2015,10,CCU,AMD,30.15
2015,10,AMD,MAA,33.01
2015,11,MAA,BOM,30.16
2015,11,BOM,DEL,27.49
2015,11,DEL,BLR,29.23
2015,11,PNQ,HYD,33.9
2015,11,HYD,CCU,34.22
2015,11,CCU,AMD,34.73
2015,11,AMD,MAA,33.05
2015,12,MAA,BOM,29.97
2015,12,BOM,DEL,27.08
2015,12,DEL,BLR,33.88
2015,12,PNQ,HYD,35.32
2015,12,HYD,CCU,35.82
2015,12,CCU,AMD,35.65
2015,12,AMD,MAA,33.72
2016,1,MAA,BOM,34.26
2016,1,BOM,DEL,34.5
2016,1,DEL,BLR,33.3
